🌙月光宝盒,#genre#
華視,rtmp://f13h.mine.nu/sat/tv111
中視,rtmp://f13h.mine.nu/sat/tv091
台視,rtmp://f13h.mine.nu/sat/tv071
民視,rtmp://f13h.mine.nu/sat/tv051
緯來日本,rtmp://f13h.mine.nu/sat/tv771
緯來育樂,rtmp://f13h.mine.nu/sat/tv701
緯來體育,rtmp://f13h.mine.nu/sat/tv721
东森超视,rtmp://f13h.mine.nu/sat/tv331
MoMo综合,rtmp://f13h.mine.nu/sat/tv761
ELEVEN体育1,rtmp://f13h.mine.nu/sat/tv731
ELEVEN体育2,rtmp://f13h.mine.nu/sat/tv741
ELEVEN体育3,rtmp://f13h.mine.nu/sat/tv751
凤凰中文台,http://php.jdshipin.com:8880/smt.php?id=phoenixtv_hd
凤凰资讯台,http://php.jdshipin.com:8880/smt.php?id=phoenixinfo_hd
凤凰香港台,http://php.jdshipin.com:8880/smt.php?id=hkphoenix_twn
RTHK32,http://php.jdshipin.com:8880/smt.php?id=rhk32_twn
RTHK31,http://php.jdshipin.com:8880/smt.php?id=rhk31_twn
TVB J2,http://php.jdshipin.com:8880/smt.php?id=j2_twn
翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
明珠台,http://php.jdshipin.com:8880/smt.php?id=pearl_twn
无线新闻台,http://php.jdshipin.com:8880/smt.php?id=inews_twn
美亚电影,http://php.jdshipin.com:8880/smt.php?id=meiyamovie_twn
CCTV6,http://ygbh.live/1905.php?id=cctv6
1905国内电影,http://ygbh.live/1905.php?id=1905a
1905国外电影,http://ygbh.live/1905.php?id=1905b
探索,http://61.221.215.25:8800/hls/1/index.m3u8
TVBS新闻,http://61.221.215.25:8800/hls/9/index.m3u8
动漫,http://61.221.215.25:8800/hls/40/index.m3u8
八大戏剧台,http://61.221.215.25:8800/hls/39/index.m3u8
三立戏剧台,http://61.221.215.25:8800/hls/41/index.m3u8
AMC电影,http://61.221.215.25:8800/hls/43/index.m3u8
凤凰资讯,http://61.221.215.25:8800/hls/47/index.m3u8
纬来精采,http://61.221.215.25:8800/hls/48/index.m3u8
探索亚洲,http://61.221.215.25:8800/hls/50/index.m3u8
NHK,http://61.221.215.25:8800/hls/51/index.m3u8
八大综合,http://61.221.215.25:8800/hls/56/index.m3u8
八大第一,http://61.221.215.25:8800/hls/55/index.m3u8
动物世界,http://61.221.215.25:8800/hls/57/index.m3u8
湖南爱晚,http://222.241.154.37:9901/tsfile/live/23022_1.m3u8
湖南电视剧,http://222.241.154.37:9901/tsfile/live/23026_1.m3u8
湖南电影,http://222.241.154.37:9901/tsfile/live/23025_1.m3u8
湖南都市,http://222.241.154.37:9901/tsfile/live/23021_1.m3u8
湖南国际,http://222.241.154.37:9901/tsfile/live/23024_1.m3u8
湖南经视,http://222.241.154.37:9901/tsfile/live/23020_1.m3u8
湖南娱乐,http://222.241.154.37:9901/tsfile/live/23023_1.m3u8
湖南教育,http://222.241.154.37:9901/tsfile/live/23027_1.m3u8
咪咕央视,#genre#
CCTV-1HD,http://ygbh.live/aikmigu.php?id=cctv1
CCTV-2HD,http://ygbh.live/aikmigu.php?id=cctv2
CCTV-3HD,http://ygbh.live/aikmigu.php?id=cctv3
CCTV-4HD,http://ygbh.live/aikmigu.php?id=cctv4
CCTV-4欧洲,http://ygbh.live/aikmigu.php?id=cctv4o
CCTV-4美洲,http://ygbh.live/aikmigu.php?id=cctv4a
CCTV-5HD,http://ygbh.live/aikmigu.php?id=cctv5
CCTV-5+HD,http://ygbh.live/aikmigu.php?id=cctv5p
CCTV-6HD,http://ygbh.live/aikmigu.php?id=cctv6
CCTV-7HD,http://ygbh.live/aikmigu.php?id=cctv7
CCTV-8HD,http://ygbh.live/aikmigu.php?id=cctv8
CCTV-9HD,http://ygbh.live/aikmigu.php?id=cctv9
CCTV-10HD,http://ygbh.live/aikmigu.php?id=cctv10
CCTV-11HD,http://ygbh.live/aikmigu.php?id=cctv11
CCTV-12HD,http://ygbh.live/aikmigu.php?id=cctv12
CCTV-13HD,http://ygbh.live/aikmigu.php?id=cctv13
CCTV-14HD,http://ygbh.live/aikmigu.php?id=cctv14
CCTV-15HD,http://ygbh.live/aikmigu.php?id=cctv15
CCTV-17HD,http://ygbh.live/aikmigu.php?id=cctv17
中央新影-发现之旅,http://ygbh.live/aikmigu.php?id=fxzl
中央新影-老故事,http://ygbh.live/aikmigu.php?id=lgs
中央新影-中学生,http://ygbh.live/aikmigu.php?id=zxs
CGTN纪录,http://ygbh.live/aikmigu.php?id=cgtnjl
CGTN西语,http://ygbh.live/aikmigu.php?id=cgtne
CGTN阿语,http://ygbh.live/aikmigu.php?id=cgtna
CGTN法语,http://ygbh.live/aikmigu.php?id=cgtnf
CGTN俄语,http://ygbh.live/aikmigu.php?id=cgtnr
CHC家庭影院,http://ygbh.live/aikmigu.php?id=chcjt
CHC动作电影,http://ygbh.live/aikmigu.php?id=chcdz
咪咕卫视,#genre#
东方卫视,http://ygbh.live/aikmigu.php?id=dfws
吉林卫视,http://ygbh.live/aikmigu.php?id=jlws
青海卫视,http://ygbh.live/aikmigu.php?id=qhws
陕西卫视,http://ygbh.live/aikmigu.php?id=sxws
湖北卫视,http://ygbh.live/aikmigu.php?id=hubws
江西卫视,http://ygbh.live/aikmigu.php?id=jxws
江苏卫视,http://ygbh.live/aikmigu.php?id=jsws
广东卫视,http://ygbh.live/aikmigu.php?id=gdws
大湾区卫视,http://ygbh.live/aikmigu.php?id=dwqws
海南卫视,http://ygbh.live/aikmigu.php?id=hinws
四海钓鱼,http://ygbh.live/aikmigu.php?id=shdy
江苏教育,http://ygbh.live/aikmigu.php?id=jsjy
山东教育,http://ygbh.live/aikmigu.php?id=sdjy
游戏风云,http://ygbh.live/aikmigu.php?id=yxfy
欢笑剧场x,http://ygbh.live/aikmigu.php?id=hxjc
之江纪录,http://ygbh.live/aikmigu.php?id=zjjl
杭州综合,http://ygbh.live/aikmigu.php?id=hzzh
杭州明珠,http://ygbh.live/aikmigu.php?id=hzmz
杭州生活,http://ygbh.live/aikmigu.php?id=hzsh
杭州影视,http://ygbh.live/aikmigu.php?id=hzys
杭州少儿体育,http://ygbh.live/aikmigu.php?id=hzse
嵊泗新闻综合,http://ygbh.live/aikmigu.php?id=ssxwzh
普陀新闻综合,http://ygbh.live/aikmigu.php?id=ptxwzh
高清大片,http://ygbh.live/aikmigu.php?id=gqdp
经典电影,http://ygbh.live/aikmigu.php?id=jdxgdy
军事迷必看大片,http://ygbh.live/aikmigu.php?id=jsdp
热剧联播,http://ygbh.live/aikmigu.php?id=rjlb
赛事最经典,http://ygbh.live/aikmigu.php?id=sszjd
体坛名栏汇,http://ygbh.live/aikmigu.php?id=ttmlh
新片放映厅,http://ygbh.live/aikmigu.php?id=xpfyt
Y+剧场,http://ygbh.live/aikmigu.php?id=yjjc
熊猫频道高清,http://ygbh.live/aikmigu.php?id=xmhd
熊猫频道1,http://ygbh.live/aikmigu.php?id=xm1
熊猫频道2,http://ygbh.live/aikmigu.php?id=xm2
熊猫频道3,http://ygbh.live/aikmigu.php?id=xm3
熊猫频道4,http://ygbh.live/aikmigu.php?id=xm4
熊猫频道5,http://ygbh.live/aikmigu.php?id=xm5
熊猫频道6,http://ygbh.live/aikmigu.php?id=xm6
熊猫频道7,http://ygbh.live/aikmigu.php?id=xm7
熊猫频道8,http://ygbh.live/aikmigu.php?id=xm8
熊猫频道9,http://ygbh.live/aikmigu.php?id=xm9
熊猫频道10,http://ygbh.live/aikmigu.php?id=xm10
🌍虎牙轮播,#genre#
许氏三杰,http://ygbh.live/huya.php?id=11602033
许冠英,http://ygbh.live/huya.php?id=11601972
五福星,http://ygbh.live/huya.php?id=11282233
周星驰,http://ygbh.live/huya.php?id=11342412
成龙,http://ygbh.live/huya.php?id=11342386
周润发,http://ygbh.live/huya.php?id=11342387
李连杰,http://ygbh.live/huya.php?id=11342390
邱淑贞,http://ygbh.live/huya.php?id=11352949
刘德华,http://ygbh.live/huya.php?id=11342424
林正英,http://ygbh.live/huya.php?id=11342421
